categoria,centroide_lat,centroide_lon,funcion,id,municipio_id,nombre
Localidad simple,-36.2106631640542,-64.0335412257945,,42035030,420238.0,MAURICIO MAYER
Localidad simple,-35.8617464058389,-64.1569675208376,,42035040,420266.0,MONTE NIEVAS
Localidad simple,-36.0429376779565,-64.8353214769324,,42035050,425133.0,RUCANELO
Localidad simple,-36.2272741396174,-64.2348767956417,,42035060,420413.0,WINIFREDA
Localidad simple,-38.7413407663938,-66.4360653362481,,42042010,425070.0,GOBERNADOR DUVAL
Localidad simple,-38.1437722310811,-65.9102790812434,CABECERA_DEPARTAMENTO,42042020,420280.0,PUELCHES
Localidad simple,-36.2298585551973,-66.9416696902043,CABECERA_DEPARTAMENTO,42049010,420329.0,SANTA ISABEL
Localidad simple,-35.0240766140268,-63.5814786778188,,42056010,420049.0,BERNARDO LARROUDE
Localidad simple,-35.2904849982904,-63.77586064487,,42056020,420084.0,CEBALLOS
Localidad simple,-35.0223098759754,-63.9123145859877,,42056030,420105.0,CORONEL HILARIO LAGOS
Localidad simple,-35.2368693365619,-63.5923274522769,CABECERA_DEPARTAMENTO,42056040,420175.0,INTENDENTE ALVEAR
Localidad simple,-35.0246923056998,-63.686962377693,,42056050,425140.0,SARAH
Localidad simple,-35.4262411079929,-63.9063646669037,,42056060,420392.0,VERTIZ
Localidad simple,-36.4011467185658,-67.1484015946157,CABECERA_DEPARTAMENTO,42063010,420011.0,ALGARROBO DEL ÁGUILA
Localidad simple,-36.3500276379509,-68.0141950027482,,42063020,420196.0,LA HUMADA
Localidad simple,-37.3758811926005,-63.7738735909084,,42070010,420014.0,ALPACHIRI
Localidad simple,-37.4589894326191,-63.5872408548873,,42070020,420140.0,GENERAL MANUEL J. CAMPOS
Localidad simple,-37.6669652272263,-63.5415367289386,CABECERA_DEPARTAMENTO,42070030,420161.0,GUATRACHE
Localidad simple,-37.66238494384,-64.1373213494442,,42070040,425105.0,PERU
Localidad simple,-37.5749339058947,-63.4328864695669,,42070050,420343.0,SANTA TERESA
Localidad simple,-37.8943313295474,-63.8515025914131,,42077010,420007.0,ABRAMO
Localidad simple,-37.9020681912484,-63.7450793526802,CABECERA_DEPARTAMENTO,42077020,420056.0,BERNASCONI
Localidad simple,-37.9785301335454,-63.6065854529976,,42077030,420154.0,GENERAL SAN MARTIN
Localidad simple,-37.7849629183535,-64.0306677804584,,42077040,420007.0,HUCAL
Localidad simple,-38.0837587172211,-63.4321816643775,,42077050,420182.0,JACINTO ARAUZ
Localidad simple,-38.3336784745407,-64.6422526958764,CABECERA_DEPARTAMENTO,42084010,425042.0,CUCHILLO CO
Localidad simple,-37.5520049423349,-66.2268538972728,,42091010,425077.0,LA REFORMA
Localidad simple,-37.1597120530545,-66.6745400356471,CABECERA_DEPARTAMENTO,42091020,425084.0,LIMAY MAHUIDA
Localidad simple,-36.47556498406,-65.3429160249895,,42098010,420070.0,CARRO QUEMADO
