id_registro,productos
546,CAÑA DE AZUCAR
547,CAÑA DE AZUCAR
548,YERBA
548,CAÑA DE AZUCAR
548,MANDIOCA
548,AROMATICAS
548,MEDICINALES
549,CAÑA DE AZUCAR
550,CAÑA DE AZUCAR
551,CAÑA DE AZUCAR
552,YERBA
552,TE
552,POMELO
552,QUINOTO
552,MANDARINA
552,NARANJA.
553,CAÑA DE AZUCAR
554,CAÑA DE AZUCAR
555,TE
555,YERBA MATE
556,CAÑA DE AZUCAR
557,CAÑA DE AZUCAR
558,CAÑA DE AZUCAR
559,CAÑA DE AZUCAR
560,CAÑA DE AZUCAR
561,CAÑA DE AZUCAR
562,CAÑA DE AZUCAR
563,CAÑA DE AZUCAR
564,CAÑA DE AZUCAR
565,CAÑA DE AZUCAR
566,CAÑA DE AZUCAR
567,CAÑA DE AZUCAR
568,CAÑA DE AZUCAR
569,CAÑA DE AZUCAR
570,CAÑA DE AZUCAR
571,CAÑA DE AZUCAR
572,CAÑA DE AZUCAR
573,CAÑA DE AZUCAR
574,CAÑA DE AZUCAR
575,MONTE
575,YERBA MATE
575,CAPUERA
575,TE
576,YERBA MATE
577,CAÑA DE AZUCAR
578,CAÑA DE AZUCAR
579,CAÑA DE AZUCAR
580,CAÑA DE AZUCAR
581,CAÑA DE AZUCAR
582,CAÑA DE AZUCAR
583,CAÑA DE AZUCAR
