id_registro,rubro
998,PROCESAMIENTO CEREALES Y OLEAGINOSAS
999,ALIMENTACION ANIMAL
1000,OTROS
1001,OTROS
1002,PROCESAMIENTO CULTIVOS INDUSTRIALES
1003,PROCESAMIENTO FRUTALES Y HORTALIZAS
1004,ACONDICIONAMIENTO Y EMPAQUE
1005,PROCESAMIENTO CEREALES Y OLEAGINOSAS
1006,"PANIFICACION, GRANOS Y CEREALES, HARINAS, LEGUMBRES, YERBA MATE, AZUCAR, MIEL"
1007,PROCESAMIENTO DE TE Y MOLINO YERBA MATE
1008,"ELABORACION , FRACCIONAMIENTO Y DEPOSITO DE HIERBAS AROMATICAS Y MEDICINALES"
1009,PROCESAMIENTO CEREALES Y OLEAGINOSAS
1010,PROCESAMIENTO CEREALES Y OLEAGINOSAS
1011,PROCESAMIENTO APICOLA
1012,PROCESAMIENTO DE CEREALES Y OLEAGINOSAS.
1013,FRACCIONAMIENTO DE MIEL
1014,PROCESAMIENTO CEREALES Y OLEAGINOSAS
1015,PROCESAMIENTO FRUTALES Y HORTALIZAS
1016,PROCESAMIENTO CEREALES Y OLEAGINOSAS
1017,FRIGORIFICOS Y EMPAQUE PARA  FRUTAS
1018,PROCESAMIENTO CEREALES Y OLEAGINOSAS
1019,PROCESAMIENTO CEREALES Y OLEAGINOSAS
1020,PROCESAMIENTO CEREALES Y OLEAGINOSAS
1021,PROCESAMIENTO CEREALES Y OLEAGINOSAS
1022,FRACCIONAMIENTO DE MIEL
1023,PROCESAMIENTO CULTIVOS INDUSTRIALES
1024,PROCESAMIENTO CULTIVOS INDUSTRIALES
1025,ELABORACION GRANOS
1026,LIMPIEZA DE GRANOS
1027,FRACCIONAMIENTO DE MIEL
1028,PROCESAMIENTO CEREALES Y OLEAGINOSAS
1029,PROCESAMIENTO CEREALES Y OLEAGINOSAS
1030,PROCESAMIENTO CEREALES Y OLEAGINOSAS
1031,ELABORACION
1032,ACOPIO Y ACONDICIONAMIENTO DE GRANOS
1033,"ELABORACION, FRACCIONAMIENTO Y EMPAQUE"
1034,PROCESAMIENTO CEREALES Y OLEAGINOSAS
1035,PROCESAMIENTO APICOLA
1036,PROCESAMIENTO FRUTALES Y HORTALIZAS
